地图,关键特点,推荐坦克,推荐输出,推荐支援
釜山 (Busan),狭窄走廊、高地平台（MEKA基地）、区域控制强,温斯顿、D.Va、奥丽莎、破坏球、末日铁拳、拉玛刹,狂鼠、法老之鹰、源氏、半藏、士兵:76、探奇,卢西奥、雾子、禅雅塔、巴蒂斯特、伊拉锐
伊利奥斯 (Ilios),开放长视线、易击落（Well/Ruins）、高垂直,破坏球、末日铁拳、西格玛、温斯顿、奥丽莎、毛加,法老之鹰、半藏、猎空、回声、芙蕾雅、索杰恩,卢西奥、飞天猫、伊拉锐、朱诺、生命之梭
漓江塔 (Lijiang Tower),高天花板、高地连接室、室内混战,D.Va、渣客女王、拉玛刹、温斯顿、查莉娅、骇灾,半藏、源氏、黑影、死神、狂鼠、探奇,雾子、天使、生命之梭、卢西奥、莫伊拉
尼泊尔 (Nepal),侧翼掩体、狭窄走廊、垂直跳跃,温斯顿、破坏球、查莉娅、D.Va、末日铁拳、西格玛,源氏、猎空、探奇、法老之鹰、黑影、埃姆雷,卢西奥、禅雅塔、朱诺、飞天猫、雾子
萨摩亚·火山 (Samoa),火山开放、高垂直、击落机会,西格玛、奥丽莎、毛加、温斯顿、破坏球、末日铁拳,法老之鹰、狂鼠、芙蕾雅、回声、索杰恩、半藏,飞天猫、伊拉锐、巴蒂斯特、卢西奥、朱诺
绿洲城 (Oasis),开放垂直、地下通道、高地,温斯顿、D.Va、末日铁拳、西格玛、奥丽莎、拉玛刹,法老之鹰、半藏、索杰恩、猎空、源氏、芙蕾雅,卢西奥、雾子、禅雅塔、飞天猫、伊拉锐
暴雪世界 (Blizzard World),高地平台、多个窒息点、长路径,莱因哈特、奥丽莎、西格玛、渣客女王、查莉娅、路霸,士兵:76、艾什、卡西迪、黑百合、法老之鹰、托比昂,安娜、巴蒂斯特、天使、禅雅塔、布丽吉塔
艾兴瓦尔德 (Eichenwalde),桥下窒息、有限侧翼、城堡高地,莱因哈特、渣客女王、路霸、拉玛刹、毛加、骇灾,死神、狂鼠、堡垒、卡西迪、艾什、秩序之光,布丽吉塔、莫伊拉、卢西奥、生命之梭、瑞稀
好莱坞 (Hollywood),高地A点、侧翼小巷、开放后段,奥丽莎、西格玛、查莉娅、莱因哈特、渣客女王、金驭,黑百合、半藏、索杰恩、士兵:76、法老之鹰、艾什,安娜、伊拉锐、巴蒂斯特、禅雅塔、天使
国王大道 (King's Row),狭窄载具道、桥下窒息、酒店侧翼,莱因哈特、拉玛刹、毛加、渣客女王、路霸、骇灾,死神、卡西迪、秩序之光、美、狂鼠、托比昂,布丽吉塔、莫伊拉、卢西奥、生命之梭、瑞稀
